year,month,day,provstate,city,latitude,longitude,primary_attacktype,secondary_attacktype,tertiary_attacktype,primary_target,secondary_target,tertiary_target,target_nationality,primary_group,secondary_group,tertiary_group,nperps,nperpcap,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,nkill,nwound,nkillter,nwoundte
2013,6,11,Damascus,Damascus,33.512787,36.298074,Bombing/Explosion,NA,NA,Police,NA,NA,Syria,Unknown,NA,NA,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,8,15,1,0
2013,6,11,Deir ez-Zor,Hatlah,35.343601,40.181097,Armed Assault,NA,NA,Private Citizens & Property,NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Firearms,Unknown Gun Type,Incendiary,Arson/Fire,NA,NA,70,NA,10,0
2013,6,13,Rif Dimashq,Damascus,33.411998,36.512489,Bombing/Explosion,NA,NA,Airports & Aircraft,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,1,0,0
2013,6,15,Unknown,Unknown,NA,NA,Hostage Taking (Kidnapping),NA,NA,Private Citizens & Property,NA,NA,Germany,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,6,16,Damascus,Damascus,33.511061,36.311062,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,10,10,0,0
2013,6,17,Aleppo,Aleppo,36.1789,37.285795,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,60,NA,0,0
2013,6,22,Raqqah,Raqqah,35.947449,39.036781,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,France,Unknown,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,6,23,Damascus,Damascus,33.504619,36.299968,Bombing/Explosion,NA,NA,Police,NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,8,0,3,0
2013,6,23,Damascus,Damascus,33.503424,36.298057,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Al-Nusrah Front,NA,NA,3,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,3,0,3,0
2013,6,23,Damascus,Damascus,33.506414,36.243817,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Ahrar al-Sham,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,3,0,0,0
2013,6,23,Homs,Gassaneyah,34.59803,36.551542,Armed Assault,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,3,0,0,0
2013,6,27,Damascus,Damascus,33.503421,36.298052,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,5,NA,1,0
2013,6,30,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Educational Institution,Government (General),NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,7,0,0,0
2013,7,1,Damascus,Damascus,33.501915,36.278143,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Liwa al-Sham,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,NA,0,0,0
2013,7,1,Hamah,Sabboura,35.15147,37.220161,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,2,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,4,18,1,0
2013,7,5,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,1,0,0
2013,7,5,Aleppo,Aleppo,36.216579,37.159481,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,1,0,0
2013,7,5,Aleppo,Aleppo,36.214363,37.153702,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,1,0,0
2013,7,8,Homs,Homs,34.712778,36.716111,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,6,30,1,0
2013,7,8,Damascus,Damascus,33.50984,36.304064,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Sticky Bomb,NA,NA,NA,NA,0,NA,0,0
2013,7,11,Hamah,Unknown,35.216454,37.16629,Bombing/Explosion,NA,NA,Military,Private Citizens & Property,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,7,NA,0,0
2013,7,14,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Business,NA,NA,Syria,Free Syrian Army,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,1,3,0,0
2013,7,14,Aleppo,Nubl,36.379625,36.994042,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,NA,0,0
2013,7,14,Aleppo,Zahra,36.226239,37.46814,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,NA,0,0
2013,7,14,Rif Dimashq,Deir Attiyeh,34.095833,36.766667,Bombing/Explosion,NA,NA,Police,NA,NA,Syria,Al-Nusrah Front,NA,NA,1,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,13,NA,0,0
2013,7,17,Rif Dimashq,Kanaker,33.269844,36.094776,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,3,0,0,0
2013,7,19,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,1,0,0,0
2013,7,21,Homs,Homs,34.738949,36.672835,Unknown,NA,NA,Military,NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,7,21,Idlib,Arihah,35.814194,36.611503,Bombing/Explosion,NA,NA,Military,Private Citizens & Property,NA,Syria,Free Syrian Army,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,20,NA,0,0
2013,7,22,Homs,Homs,34.733879,36.71817,Facility/Infrastructure Attack,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,7,22,Homs,Homs,34.7338,36.702462,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,7,0,0,0
2013,7,22,Aleppo,Aleppo,36.218918,37.154429,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,1,0,0
2013,7,22,Aleppo,Aleppo,36.215506,37.159081,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,7,22,Aleppo,Aleppo,36.206391000000004,37.157368,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,7,22,Aleppo,Khan al-Assal,36.169477,37.042036,Armed Assault,NA,NA,Military,Private Citizens & Property,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,123,NA,NA,NA
2013,7,23,Aleppo,Aleppo,36.215549,37.159279,Armed Assault,NA,NA,Private Citizens & Property,NA,NA,Syria,Ahrar al-Sham,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",Firearms,Unknown Gun Type,NA,NA,1,19,0,0
2013,7,21,Aleppo,Tal Hadiya,35.994952,36.937011,Bombing/Explosion,Armed Assault,NA,Transportation,NA,NA,Multinational,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,Firearms,Unknown Gun Type,NA,NA,1,17,0,0
2013,7,24,Damascus,Damascus,33.471831,36.303377,Bombing/Explosion,NA,NA,Other,NA,NA,Syria,"Popular Front for the Liberation of Palestine, Gen Cmd (PFLP-GC)",NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,11,45,0,0
2013,7,24,Idlib,Saraqib,35.866667,36.8,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Poland,Unknown,NA,NA,15,0,Firearms,Unknown Gun Type,Melee,Blunt Object,NA,NA,0,1,0,0
2013,7,25,Damascus,Damascus,33.510771,36.305641,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,10,62,0,0
2013,7,26,Aleppo,Unknown,36.230981,37.465696,Hostage Taking (Kidnapping),NA,NA,Private Citizens & Property,NA,NA,Armenia,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,NA,NA,0,0
2013,7,28,Aleppo,Unknown,36.230981,37.465696,Hostage Taking (Kidnapping),NA,NA,Private Citizens & Property,NA,NA,Armenia,Unknown,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,7,29,Raqqah,Raqqah,35.952997,39.016199,Hostage Taking (Kidnapping),NA,NA,Religious Figures/Institutions,NA,NA,Italy,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,NA,NA,0,0
2013,7,30,Deir ez-Zor,Dablan,34.859722,40.57,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,10,26,0,0
2013,7,30,Al Hasakah,Qamishli,37.052361,41.241371,Assassination,NA,NA,Private Citizens & Property,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,1,0,0,0
2013,7,31,Unknown,Unknown,NA,NA,Armed Assault,NA,NA,Military,NA,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,4,0,0,0
2013,7,31,Damascus,Damascus,33.549054,36.31459,Bombing/Explosion,NA,NA,Government (General),NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,6,19,0,0
2013,8,1,Homs,Homs,34.731738,36.717628,Bombing/Explosion,NA,NA,Military,Private Citizens & Property,NA,Syria,Liwa al-Haqq,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,40,160,0,0
2013,8,2,Homs,Talkalakh,34.672535,36.262851,Armed Assault,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,6,0,0,0
2013,8,3,Damascus,Damascus,33.541735,36.297669,Armed Assault,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,5,0,0,0
2013,8,4,Damascus,Damascus,33.516138,36.31887,Bombing/Explosion,NA,NA,Military,Private Citizens & Property,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,0,1,0,0
2013,8,4,Aleppo,Aleppo,36.211683,37.1473,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,United States,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0
2013,8,5,Aleppo,Mannagh Air Base,36.521944,37.041111,Bombing/Explosion,Armed Assault,NA,Military,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),Jaish al-Muhajireen wal-Ansar (Muhajireen Army),NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,Firearms,Unknown Gun Type,NA,NA,10,NA,10,NA
2013,8,6,Damascus,Damascus,33.483333,36.35,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,18,56,0,0
2013,8,7,Rif Dimashq,Qatana,33.436957,36.081148,Bombing/Explosion,NA,NA,Police,Military,Private Citizens & Property,Syria,Al-Nusrah Front,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,6,10,0,0
2013,8,12,Latakia,Unknown,35.612979,36.002323,Hostage Taking (Kidnapping),NA,NA,Private Citizens & Property,NA,NA,Syria,The Mujahadeen Room in Latakia Countryside,Jaish al-Muhajireen wal-Ansar (Muhajireen Army),Ahrar al-Sham,NA,0,Firearms,Unknown Gun Type,Melee,"Hands, Feet, Fists",Melee,NA,3,NA,0,0
2013,8,15,Unknown,Unknown,NA,NA,Armed Assault,NA,NA,Private Citizens & Property,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,2,0,0,0
2013,8,4,Aleppo,Aleppo,36.211683,37.1473,Hostage Taking (Kidnapping),NA,NA,NGO,NA,NA,United States,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0
2013,8,17,Homs,Homs,34.733879,36.71817,Armed Assault,NA,NA,Military,Private Citizens & Property,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,11,NA,NA,NA
2013,8,21,Damascus,Damascus,33.5111,36.3064,Unknown,NA,NA,Government (General),NA,NA,Syria,Unknown,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,8,22,Aleppo,Aleppo,36.215549,37.159279,Bombing/Explosion,NA,NA,Business,NA,NA,Syria,Unknown,NA,NA,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,NA,NA,7,20,1,0
2013,8,25,Hamah,Hamah,35.13465,36.7412,Assassination,NA,NA,Government (General),NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,1,7,0,0
2013,8,26,Damascus,Damascus,33.5111,36.3064,Armed Assault,NA,NA,Government (Diplomatic),NA,NA,International,Unknown,NA,NA,NA,0,Firearms,Rifle/Shotgun (non-automatic),NA,NA,NA,NA,0,0,0,0
2013,9,2,Aleppo,Sejou,36.212859,37.158951,Hostage Taking (Kidnapping),NA,NA,NGO,NA,NA,International,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0
2013,9,4,Hamah,Hamah,35.13781,36.752449,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Spain,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,9,4,Rif Dimashq,Maaloula,33.844167,36.546667,Bombing/Explosion,NA,NA,Military,NA,NA,Syria,Al-Nusrah Front,NA,NA,1,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,9,0,1,0
2013,9,7,Deir ez-Zor,Albu Kamal,34.465326,40.908183,Bombing/Explosion,NA,NA,Utilities,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,0,0,0,0
2013,9,8,Rif Dimashq,Maaloula,33.844167,36.546667,Hostage Taking (Kidnapping),NA,NA,Private Citizens & Property,NA,NA,Syria,Al-Nusrah Front,Ahrar al-Sham,Liwa al-Islam,NA,0,Melee,Knife or Other Sharp Object,NA,NA,NA,NA,30,0,0,0
2013,9,10,Homs,Maksar al-Hesan,34.811389,37.306111,Armed Assault,NA,NA,Private Citizens & Property,NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,22,0,0,0
2013,9,16,Raqqah,Raqqah,35.954109,39.038143,Armed Assault,NA,NA,Private Citizens & Property,NA,NA,Syria,Islamic State of Iraq and the Levant (ISIL),NA,NA,2,0,Firearms,Handgun,NA,NA,NA,NA,2,0,0,0
2013,9,16,Raqqah,Tal Abyad,36.691938,38.951152,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,Terrorists/Non-State Militia,NA,Spain,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,9,17,Idlib,Ad-Dana,36.218403,36.768484,Bombing/Explosion,NA,NA,Terrorists/Non-State Militia,Private Citizens & Property,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,7,20,0,0
2013,9,19,Homs,Jabburin,34.847928,36.674094,Bombing/Explosion,NA,NA,Transportation,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,9,19,0,0
2013,9,22,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,Russia,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,3,0,0
2013,9,24,Damascus,Damascus,33.478668,36.309965,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Sticky Bomb,NA,NA,NA,NA,5,15,0,0
2013,9,26,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,Iraq,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,1,3,0,0
2013,9,27,Rif Dimashq,Rankus,33.756418,36.392019,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,30,24,0,0
2013,9,30,Damascus,Damascus,33.502624,36.258393,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,China,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,1,0,0
2013,9,30,Aleppo,Aleppo,36.211683,37.1473,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Russia,Liwa al-Tawhid,NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,0,0,0,0
2013,10,1,Unknown,Unknown,NA,NA,Hostage Taking (Kidnapping),NA,NA,NGO,NA,NA,International,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0
2013,10,9,Damascus,Damascus,33.520556,36.295972,Bombing/Explosion,NA,NA,Business,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,10,12,Damascus,Damascus,33.485505,36.347137,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,4,5,0,0
2013,10,12,Damascus,Damascus,33.517904,36.285666,Bombing/Explosion,NA,NA,Educational Institution,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,1,11,0,0
2013,10,12,Damascus,Damascus,33.516782,36.306324,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,10,13,Idlib,Saraqib,35.861589,36.803857,Hostage Taking (Kidnapping),NA,NA,NGO,NGO,NA,International,Islamic State of Iraq and the Levant (ISIL),NA,NA,NA,0,Firearms,Unknown Gun Type,NA,NA,NA,NA,NA,NA,0,0
2013,10,15,Aleppo,Anadan,36.293611,37.044444,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Great Britain,Unknown,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,NA,NA,0,0
2013,10,15,Damascus,Damascus,33.504577,36.292908,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,4,0,0
2013,10,15,Rif Dimashq,Yabrud,33.967279,36.665649,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Remote Trigger,NA,NA,NA,NA,0,0,0,0
2013,10,15,Rif Dimashq,Yabrud,33.967279,36.665649,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Remote Trigger,NA,NA,NA,NA,0,0,0,0
2013,10,15,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA,0,0
2013,10,17,Deir ez-Zor,Deir ez-Zor,35.333333,40.15,Assassination,NA,NA,Military,NA,NA,Syria,Ayesha bint al-Sadiq Brigade,Al-Nusrah Front,NA,NA,0,Firearms,Rifle/Shotgun (non-automatic),NA,NA,NA,NA,1,0,0,0
