year,month,day,provstate,city,latitude,longitude,primary_attacktype,secondary_attacktype,tertiary_attacktype,primary_target,secondary_target,tertiary_target,target_nationality,primary_group,secondary_group,tertiary_group,nperps,nperpcap,weaptype1,weapsubtype1,weaptype2,weapsubtype2,weaptype3,weapsubtype3,nkill,nwound,nkillter,nwoundte
2013,10,19,Damascus,Mulayhah,33.485523,36.36714,Bombing/Explosion,NA,NA,Military,Private Citizens & Property,NA,Syria,Al-Nusrah Front,NA,NA,1,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,17,15,1,0
2013,10,20,Hamah,Hamah,35.13781,36.752449,Bombing/Explosion,NA,NA,Military,Private Citizens & Property,NA,Syria,Al-Nusrah Front,NA,NA,1,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,31,24,1,0
2013,10,23,Damascus,Damascus,33.514775,36.318924,Bombing/Explosion,NA,NA,Military,Private Citizens & Property,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,0,3,0,0
2013,10,23,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Utilities,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,10,23,Damascus,Damascus,33.5111,36.3064,Bombing/Explosion,NA,NA,Business,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,2,0,0
2013,10,23,Damascus,Damascus,33.511707,36.30566,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,4,18,0,0
2013,10,23,Damascus,Damascus,33.511381,36.290797,Bombing/Explosion,NA,NA,Educational Institution,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,10,23,Damascus,Damascus,33.516782,36.306324,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,10,25,Rif Dimashq,Suq Wadi Barada,33.625,36.108056,Bombing/Explosion,NA,NA,Religious Figures/Institutions,NA,NA,Syria,Al-Nusrah Front,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,40,24,0,0
2013,10,28,Aleppo,Aleppo,36.215549,37.159279,Hostage Taking (Kidnapping),NA,NA,Journalists & Media,NA,NA,Syria,Unknown,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,0,0,0,0
2013,10,30,Homs,Talkalakh,34.672747,36.263022,Armed Assault,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",Firearms,Unknown Gun Type,NA,NA,11,7,0,0
2013,11,3,Damascus,Damascus,33.508194,36.302208,Bombing/Explosion,NA,NA,Private Citizens & Property,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,NA,0,0
2013,11,3,Damascus,Damascus,33.508481,36.300144,Bombing/Explosion,NA,NA,Business,NA,NA,Syria,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,11,4,Damascus,Damascus,33.507908,36.302551,Assassination,NA,NA,Military,NA,NA,Iran,Muslim extremists,NA,NA,NA,0,Unknown,NA,NA,NA,NA,NA,1,0,0,0
2013,11,4,Rif Dimashq,Damascus,33.536816,36.704464,Armed Assault,NA,NA,NGO,NA,NA,Syria,Unknown,NA,NA,NA,0,Firearms,Rifle/Shotgun (non-automatic),NA,NA,NA,NA,1,0,0,0
2013,11,5,Damascus,Damascus,33.517874,36.285592,Bombing/Explosion,NA,NA,Government (Diplomatic),NA,NA,Vatican City,Unknown,NA,NA,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,0,0,0,0
2013,11,6,As Suwayda,Suwayda,32.706268,36.566071,Bombing/Explosion,NA,NA,Government (General),Private Citizens & Property,NA,Syria,Free Syrian Army,NA,NA,NA,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA,9,41,1,0
