year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,nperps,nperpcap,weaptype1,weapsubtype1,nkill,nwound,nkillter,nwoundte
2014,10,26,Aleppo,Aleppo,36.2065,37.160027,Bombing/Explosion,Educational Institution,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,NA,0,0
2014,10,26,Deir ez-Zor,Albu Kamal,34.452182,40.91937,Hostage Taking (Kidnapping),Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Melee,Knife or Other Sharp Object,4,0,0,0
2014,10,27,Idlib,Idlib,35.930848,36.637189,Hostage Taking (Barricade Incident),Government (General),Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),71,NA,1,0
2014,10,27,Idlib,Idlib,35.930848,36.637189,Bombing/Explosion,Military,Syria,Al-Nusrah Front,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,1,0
2014,10,27,Idlib,Idlib,35.930848,36.637189,Unknown,Police,Syria,Al-Nusrah Front,NA,0,Unknown,NA,0,0,0,0
2014,10,27,Deir ez-Zor,Mayadin,35.016667,40.45,Bombing/Explosion,Business,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Vehicle,3,NA,0,0
2014,10,27,Idlib,Idlib,35.933333,36.633333,Bombing/Explosion,Military,Syria,Al-Nusrah Front,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,1,0
2014,10,27,Idlib,Idlib,35.933333,36.633333,Bombing/Explosion,Military,Syria,Al-Nusrah Front,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),NA,NA,1,0
2014,10,29,Homs,Shaer,34.730833,36.709444,Unknown,Business,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,30,NA,NA,NA
2014,10,29,Homs,Homs,34.733018,36.732112,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Vehicle,1,37,1,0
2014,10,31,Aleppo,Kobani,36.889579,38.363995,Armed Assault,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0
2014,10,31,Aleppo,Kobani,36.894082,38.353894,Bombing/Explosion,Terrorists/Non-State Militia,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,Vehicle,1,0,1,0
2014,10,31,Aleppo,Kobani,36.898673,38.349561,Bombing/Explosion,Police,Turkey,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0
2014,11,5,Damascus,Damascus,33.55,36.35,Bombing/Explosion,Educational Institution,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",17,20,0,0
2014,11,6,Rif Dimashq,Kafr Hawar,33.360095,35.978931,Unknown,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Unknown,NA,14,11,5,4
2014,11,6,Rif Dimashq,Bayt Jin,33.311398,35.919465,Unknown,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Unknown,NA,13,11,5,4
2014,11,6,Rif Dimashq,Beit Tema,33.367202,35.996859,Unknown,Business,Syria,Al-Nusrah Front,NA,0,Unknown,NA,13,11,4,3
2014,11,9,Damascus,Damascus,33.556439,36.320536,Armed Assault,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Firearms,Unknown Gun Type,5,0,0,0
2014,11,20,Quneitra,Baath,33.122407,35.903711,Bombing/Explosion,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0
2014,11,23,Aleppo,Nubl,36.375556,36.994167,Bombing/Explosion,Business,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,4,NA
2014,11,23,Aleppo,Zahra,36.361317,37.014122,Bombing/Explosion,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,4,NA
2014,11,23,Deir ez-Zor,Deir ez-Zor,35.341175,40.148118,Armed Assault,Military,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Firearms,Unknown Gun Type,NA,NA,0,0
2014,11,25,Raqqah,Raqqah,35.959411,38.998105,Hostage Taking (Kidnapping),Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,2,0,0,0
2014,11,26,Damascus,Irbin,33.538266,36.366313,Armed Assault,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Firearms,Unknown Gun Type,1,0,0,0
2014,11,29,Aleppo,Aleppo,36.202596,37.204128,Bombing/Explosion,Private Citizens & Property,Syria,Free Syrian Army,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",4,0,0,0
2014,11,28,Daraa,Sheikh Maskin,32.828333,36.15875,Armed Assault,Military,Syria,Unknown,NA,0,Firearms,Unknown Gun Type,3,NA,3,NA
2014,11,29,Aleppo,Kobani,36.898968000000004,38.349458,Bombing/Explosion,Police,Turkey,Islamic State of Iraq and the Levant (ISIL),3,0,Explosives/Bombs/Dynamite,Vehicle,5,NA,3,0
2014,11,29,Aleppo,Kobani,36.898968000000004,38.349458,Bombing/Explosion,Police,Turkey,Islamic State of Iraq and the Levant (ISIL),6,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),9,NA,6,NA
2014,11,29,Aleppo,Kobani,36.88774,38.350817,Bombing/Explosion,Terrorists/Non-State Militia,Syria,Islamic State of Iraq and the Levant (ISIL),6,0,Explosives/Bombs/Dynamite,Vehicle,8,NA,6,NA
2014,11,29,Aleppo,Kobani,36.88774,38.350817,Bombing/Explosion,Terrorists/Non-State Militia,Syria,Islamic State of Iraq and the Levant (ISIL),6,0,Explosives/Bombs/Dynamite,Vehicle,8,NA,6,NA
2014,12,4,Deir ez-Zor,Deir ez-Zor,35.283094,40.170864,Bombing/Explosion,Military,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,Vehicle,27,NA,8,NA
2014,12,4,Deir ez-Zor,Jafrah,35.298217,40.202448,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0
2014,12,6,Deir ez-Zor,Deir ez-Zor,35.283095,40.170864,Hostage Taking (Kidnapping),Military,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,Vehicle,111,NA,60,NA
2014,12,12,Deir ez-Zor,Deir ez-Zor,35.283094,40.170864,Bombing/Explosion,Military,Syria,Islamic State of Iraq and the Levant (ISIL),1,0,Explosives/Bombs/Dynamite,Vehicle,NA,NA,NA,NA
2014,12,11,Aleppo,Aleppo,36.215664,37.157079,Bombing/Explosion,Military,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",10,NA,0,0
2014,12,14,Al Hasakah,Qamishli,37.047222,41.22565,Hostage Taking (Kidnapping),Journalists & Media,Iraq,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,NA,NA,0,0
2014,12,14,Idlib,Murrat al-Numan,35.644217,36.701914,Armed Assault,Military,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",90,NA,40,NA
2014,12,14,Idlib,Hamidiyah,35.616253,36.655267,Hostage Taking (Kidnapping),Military,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",90,NA,40,NA
2014,12,14,Aleppo,Al-Mallah,36.094231,38.007583,Bombing/Explosion,Military,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA
2014,12,14,Aleppo,Handarat,36.292165,37.158018,Bombing/Explosion,Military,Syria,Free Syrian Army,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA
2014,12,16,Homs,Unknown,34.730833,36.709444,Hostage Taking (Kidnapping),Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Melee,Knife or Other Sharp Object,4,0,0,0
2014,12,20,Deir ez-Zor,Unknown,35.336136,40.145013,Unknown,Military,Syria,Islamic State of Iraq and the Levant (ISIL),20,0,Unknown,NA,22,NA,20,NA
2014,12,20,Aleppo,Unknown,36.226239,37.46814,Hostage Taking (Kidnapping),Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Melee,Knife or Other Sharp Object,1,0,0,0
2014,12,24,Raqqah,Raqqah,35.959411,38.998105,Hostage Taking (Kidnapping),Military,Jordan,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,0,0,0
2014,12,27,Aleppo,As-Safirah,36.077851,37.373153,Unknown,Military,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,0,0,0,0
2014,12,28,Aleppo,Kobani,36.88774,38.350817,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,Vehicle,8,NA,6,NA
2014,12,28,Aleppo,Qatmah,36.593361,36.96428,Bombing/Explosion,Terrorists/Non-State Militia,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Vehicle,6,10,0,0
2014,12,28,Aleppo,Kobani,36.88774,38.350817,Bombing/Explosion,Terrorists/Non-State Militia,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,Vehicle,4,NA,3,NA
2014,12,29,Homs,Furqlus,34.6,37.083333,Bombing/Explosion,Military,Syria,Islamic State of Iraq and the Levant (ISIL),2,2,Explosives/Bombs/Dynamite,Vehicle,9,15,0,0
2014,12,30,Aleppo,Aleppo,36.2065,37.160027,Bombing/Explosion,Military,Syria,Shamiya Front,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,7,NA,0,0
2015,1,1,Aleppo,Aleppo,36.19957,37.096368,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",13,18,0,0
2015,1,1,Aleppo,Unknown,36.2065,37.160027,Hostage Taking (Kidnapping),Military,Turkey,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,0,0,0,0
2015,1,3,Idlib,Kafr Uwayd,35.630833,36.459722,Bombing/Explosion,Government (General),Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Vehicle,5,10,0,0
2015,1,3,Rif Dimashq,Falitah,34.030278,36.583889,Armed Assault,Military,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",24,NA,16,NA
2015,1,6,Aleppo,Kobani,36.88774,38.350817,Unknown,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,33,NA,24,0
2015,1,7,Daraa,Nawah,32.888889,36.043056,Bombing/Explosion,Religious Figures/Institutions,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0
2015,1,8,Aleppo,Nubl,36.375556,36.994167,Bombing/Explosion,Military,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",13,NA,7,NA
2015,1,8,Aleppo,Zahra,36.358493,37.010577,Bombing/Explosion,Military,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),12,NA,7,NA
2015,1,10,Aleppo,Maskanah,35.963158,38.035566,Bombing/Explosion,Terrorists/Non-State Militia,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,Vehicle,15,NA,0,0
2015,1,10,Aleppo,Qatmah,36.590788,36.960932,Bombing/Explosion,Terrorists/Non-State Militia,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,Vehicle,5,NA,0,0
2015,1,13,Aleppo,Kobani,36.88774,38.350817,Unknown,Terrorists/Non-State Militia,Syria,Islamic State of Iraq and the Levant (ISIL),8,0,Unknown,NA,8,0,8,0
2015,1,15,Deir ez-Zor,Mayadin,35.016557,40.45,Hostage Taking (Kidnapping),Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Melee,Knife or Other Sharp Object,1,0,0,0
2015,1,16,Aleppo,Kobani,36.88774,38.350817,Unknown,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,31,NA,23,NA
2015,1,17,Idlib,Abu Adh Dhuhur,35.735539,37.105288,Unknown,Military,Syria,Al-Nusrah Front,NA,0,Unknown,NA,35,0,0,0
2015,1,21,Homs,Homs,34.712743,36.716284,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Vehicle,5,30,0,0
2015,1,22,Aleppo,Marea,36.482176,37.197312,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,0,0,0
2015,1,22,Aleppo,Sawran,36.565,37.212222,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,0,0,0
2015,1,22,Aleppo,Thallajin,35.818056,37.058333,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,0,0,0
2015,1,25,Damascus,Damascus,33.51829,36.272575,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,12,0,0
2015,1,25,Damascus,Damascus,33.517873,36.28557,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,12,0,0
2015,1,25,Damascus,Damascus,33.503084,36.258531,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,11,0,0
2015,1,25,Damascus,Damascus,33.506414,36.286131,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,10,0,0
2015,1,25,Daraa,Sheikh Maskin,32.828133,36.156788,Bombing/Explosion,Military,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",41,NA,NA,NA
2015,1,26,Latakia,Lattakia,35.520618,35.797341,Bombing/Explosion,Military,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,5,0,0
2015,1,26,Latakia,Lattakia,35.53,35.78,Bombing/Explosion,Military,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,5,0,0
2015,1,30,Idlib,Jabal al-Arbaiin,35.933333,36.633333,Bombing/Explosion,Military,Syria,Free Syrian Army,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA
2015,1,30,Idlib,Arihah,35.816205,36.612092,Unknown,Military,Syria,Free Syrian Army,NA,0,Unknown,NA,0,0,0,0
2015,1,30,Idlib,Kafr Najd,35.823333,36.5875,Unknown,Military,Syria,Free Syrian Army,NA,0,Unknown,NA,0,0,0,0
2015,1,30,Idlib,Jabal al-Arbaiin,35.933333,36.633333,Bombing/Explosion,Military,Syria,Free Syrian Army,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0
2015,2,1,Damascus,Damascus,33.512243,36.303049,Bombing/Explosion,Private Citizens & Property,Lebanon,Al-Nusrah Front,1,0,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),7,19,1,0
2015,2,5,Damascus,Daraya,33.459813,36.235973,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,4,0,0
2015,2,5,Damascus,Damascus,33.531,36.337111,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,4,0,0
2015,2,5,Damascus,Damascus,33.511562,36.306737,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,4,0,0
2015,2,5,Damascus,Damascus,33.525775,36.301388,Bombing/Explosion,Government (Diplomatic),Russia,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,3,0,0
2015,2,5,Damascus,Damascus,33.503056,36.258333,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,3,0,0
2015,2,5,Damascus,Damascus,33.51829,36.272575,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,3,0,0
2015,2,5,Damascus,Damascus,33.530586,36.320687,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,3,0,0
2015,2,5,Damascus,Damascus,33.517916,36.285686,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,3,0,0
2015,2,5,Damascus,Damascus,33.498333,36.277222,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,3,0,0
2015,2,7,Aleppo,Aleppo,36.203737,37.152329,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",3,8,0,0
2015,2,10,Damascus,Damascus,33.513093,36.292022,Bombing/Explosion,Private Citizens & Property,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",10,NA,0,0
2015,2,10,Damascus,Irbin,33.538535,36.366068,Hostage Taking (Kidnapping),Journalists & Media,Syria,Islamic Front (Syria),NA,0,Firearms,Unknown Gun Type,NA,NA,0,0
2015,2,13,Rif Dimashq,At Tall,33.610278,36.310556,Bombing/Explosion,Religious Figures/Institutions,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Vehicle,6,24,0,0
2015,2,14,Daraa,Deir al-Adas,33.159728,36.124664,Bombing/Explosion,Journalists & Media,Russia,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,2,0,0
2015,2,14,Rif Dimashq,Al-Wafidin,33.595556,36.433056,Unknown,Military,Syria,Islamic Front (Syria),NA,0,Unknown,NA,11,NA,NA,NA
2015,2,15,Latakia,Lattakia,35.529905,35.780041,Bombing/Explosion,Military,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0
2015,2,14,Latakia,Qardahah,35.455964,36.059189,Bombing/Explosion,Military,Syria,Islamic Front (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0
2015,2,14,Aleppo,Nubl,36.375556,36.994167,Bombing/Explosion,Military,Syria,Al-Sham Legion,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,NA,0,0
2015,2,14,Aleppo,Zahra,36.358691,37.010756,Bombing/Explosion,Military,Syria,Al-Sham Legion,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,NA,0,0
2015,2,15,Damascus,Damascus,33.506472,36.242744,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0
2015,2,16,Aleppo,Aleppo,36.215857,37.143775,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",9,20,0,0
2015,2,17,Rif Dimashq,Harran al-Awamid,33.448611,36.5575,Bombing/Explosion,Utilities,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0
2015,2,17,Aleppo,Aleppo,36.218437,37.126002,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,6,0,0
2015,2,17,Aleppo,Aleppo,36.210793,37.153763,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,6,0,0
2015,2,17,Aleppo,Aleppo,36.177489,37.09905,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,6,0,0
2015,2,17,Aleppo,Aleppo,36.225588,37.11487,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,6,0,0
2015,2,17,Aleppo,Aleppo,36.224146,37.129698,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,6,0,0
2015,2,16,Idlib,Abu Adh Dhuhur,35.73657,37.103453,Bombing/Explosion,Military,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",7,NA,0,0
2015,2,18,Aleppo,Rityan,36.346611,37.092139,Hostage Taking (Kidnapping),Military,Syria,Ansar al-Din Front,NA,0,Unknown,NA,6,NA,0,0
2015,2,21,Latakia,Qardahah,35.456432,36.059241,Bombing/Explosion,Business,Syria,Gathering to Aid the Oppressed,1,0,Explosives/Bombs/Dynamite,Vehicle,3,NA,1,0
2015,2,21,Aleppo,Aleppo,36.21962,37.167411,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",6,10,0,0
2015,2,21,Aleppo,Aleppo,36.193482,37.13926,Bombing/Explosion,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",2,0,0,0
2015,2,23,Damascus,Sayyidah Zaynab,33.447222,36.336111,Bombing/Explosion,Military,Syria,Al-Nusrah Front,2,0,Explosives/Bombs/Dynamite,Vehicle,9,10,2,0
2015,2,24,Al Hasakah,Al-Hasakah district,36.639322,40.356066,Hostage Taking (Kidnapping),Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Incendiary,Arson/Fire,3,0,0,0
2015,2,27,Rif Dimashq,Dumayr,33.641451000000004,36.691966,Bombing/Explosion,Religious Figures/Institutions,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,Vehicle,11,31,0,0
2015,3,4,Aleppo,Aleppo,36.2065,37.160027,Bombing/Explosion,Government (General),Syria,Al-Nusrah Front,NA,0,Explosives/Bombs/Dynamite,Unknown Explosive Type,34,NA,14,NA
2015,3,4,Aleppo,Aleppo,36.211777,37.147262,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",6,0,0,0
2015,3,7,Al Hasakah,Tall Tamr,36.656185,40.367542,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,3,NA
2015,3,7,Al Hasakah,Tall Tamr,36.656185,40.367542,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,3,NA
2015,3,7,Al Hasakah,Tall Tamr,36.656756,40.370027,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,2,NA
2015,3,10,Al Hasakah,Ras al-Ain,36.85,40.066667,Hostage Taking (Kidnapping),Terrorists/Non-State Militia,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",48,NA,24,NA
2015,3,11,Latakia,Durin,35.671111,36.136667,Armed Assault,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Firearms,Unknown Gun Type,25,NA,25,NA
2015,3,12,Homs,Khirbat Tiyas,34.551442,37.814298,Bombing/Explosion,Military,Syria,Islamic State of Iraq and the Levant (ISIL),1,0,Explosives/Bombs/Dynamite,Vehicle,6,4,1,0
2015,3,20,Al Hasakah,Hasakah,36.518134,40.7488,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),1,0,Explosives/Bombs/Dynamite,Vehicle,25,89,1,0
2015,3,20,Al Hasakah,Hasakah,36.518134,40.7488,Bombing/Explosion,Private Citizens & Property,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Explosives/Bombs/Dynamite,Other Explosive Type,25,88,0,0
2015,3,20,Homs,Unknown,34.730833,36.709444,Unknown,Military,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,20,NA,0,0
2015,3,20,Hamah,Sheikh Hilal,35.249722,37.503889,Unknown,Military,Syria,Islamic State of Iraq and the Levant (ISIL),NA,0,Unknown,NA,62,NA,0,0
2015,3,22,Daraa,Busra,32.516689,36.474304,Armed Assault,Military,Syria,Jaysh al-Islam (Syria),NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",45,NA,21,NA
2015,3,22,Idlib,Dayr Sunbul,35.697778,36.603333,Hostage Taking (Kidnapping),Military,Syria,Al-Nusrah Front,NA,0,Firearms,Automatic Weapon,1,NA,0,0
2015,3,22,As Suwayda,Bakka,32.48558,36.574293,Unknown,Private Citizens & Property,Syria,Al-Nusrah Front,NA,0,Unknown,NA,7,0,0,0
2015,3,23,Aleppo,Aleppo,36.204237,37.149496,Bombing/Explosion,Private Citizens & Property,Syria,Unknown,NA,0,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",4,11,0,0
