year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,nperps,nperpcap,weaptype1,weapsubtype1,nkill,nwound,nkillter,nwoundte
1979,9,24,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Government (General),Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1979,10,15,Aleppo,Aleppo,36.212989,37.142588,Assassination,Private Citizens & Property,Syria,Muslim Brotherhood,NA,NA,Firearms,Unknown Gun Type,2,0,NA,NA
1979,12,3,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Religious Figures/Institutions,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1979,12,3,Aleppo,Aleppo,36.212989,37.142588,Assassination,Private Citizens & Property,Syria,Muslim Brotherhood,NA,NA,Firearms,Unknown Gun Type,1,0,NA,NA
1980,1,16,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Airports & Aircraft,Soviet Union,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1980,1,16,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Airports & Aircraft,Soviet Union,Unknown,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1980,1,19,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Soviet Union,Muslim Brotherhood,NA,NA,Firearms,Handgun,6,0,NA,NA
1980,1,24,Aleppo,Aleppo,36.212989,37.142588,Assassination,Private Citizens & Property,Soviet Union,Muslim Brotherhood,NA,NA,Firearms,Unknown Gun Type,1,0,NA,NA
1980,2,2,Aleppo,Aleppo,36.212989,37.142588,Assassination,Religious Figures/Institutions,Syria,Muslim Brotherhood,NA,NA,Firearms,Handgun,1,0,NA,NA
1980,2,18,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Transportation,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,34,0,NA,NA
1980,2,26,Latakia,Latakia,35.516863,35.787049,Bombing/Explosion,Military,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,10,NA,NA
1980,2,26,Latakia,Latakia,35.516863,35.787049,Bombing/Explosion,Educational Institution,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1980,2,26,Latakia,Latakia,35.516863,35.787049,Bombing/Explosion,Business,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,NA,NA
1980,3,14,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Private Citizens & Property,Syria,Muslim Brotherhood,NA,NA,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA
1980,3,14,Aleppo,Aleppo,36.212989,37.142588,Bombing/Explosion,Business,Syria,Muslim Brotherhood,NA,NA,Firearms,Automatic Weapon,NA,NA,NA,NA
1980,4,0,Aleppo,Aleppo,36.212989,37.142588,Assassination,Government (General),Syria,Muslim Brotherhood,NA,NA,Unknown,NA,1,0,NA,NA
