year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
1975,3,1,Nineveh,Mosul,36.34,43.13,Hijacking,Airports & Aircraft,Iraq,Unknown,Unknown,NA,0,0,0,1,0,1
1976,12,15,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Airports & Aircraft,Iraq,Unknown,Explosives/Bombs/Dynamite,Dynamite/TNT,10,NA,NA,285,NA,NA
1976,12,24,Baghdad,Baghdad,33.3,44.4,Assassination,Violent Political Party,West Bank and Gaza Strip,Unknown,Firearms,Automatic Weapon,2,NA,NA,0,NA,NA
1979,6,15,Basra,Basra,30.5,47.816667,Assassination,Government (General),Iraq,Unknown,Unknown,NA,1,NA,NA,0,NA,NA
1980,1,28,Baghdad,Baghdad,33.3,44.4,Hijacking,Airports & Aircraft,Multinational,Shia Muslim extremists,Melee,Knife or Other Sharp Object,0,NA,NA,0,NA,NA
1980,3,27,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1980,4,1,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Iraqi Mujahideen,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,NA,1,7,NA,NA
1980,6,19,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (Diplomatic),Great Britain,Unknown,Firearms,Unknown Gun Type,3,NA,3,NA,NA,NA
1980,7,0,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Al-Da'wah Party,Explosives/Bombs/Dynamite,Grenade,2,NA,NA,1,NA,NA
1980,11,1,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Grenade,0,NA,NA,1,NA,NA
1981,1,0,Sulaymaniyah,Unknown,35.500143,45.30573,Hostage Taking (Kidnapping),Private Citizens & Property,Great Britain,Unified Kurdish Socialist Party,Unknown,NA,NA,NA,NA,NA,NA,NA
1981,5,13,Kirkuk,Kirkuk,35.46883,44.39098,Hostage Taking (Kidnapping),Business,Germany,Patriotic Union of Kurdistan (PUK),Unknown,NA,NA,NA,NA,NA,NA,NA
1981,6,6,Kirkuk,Kirkuk,35.46883,44.39098,Hostage Taking (Kidnapping),Business,Germany,Kurds,Unknown,NA,NA,NA,NA,NA,NA,NA
1982,1,9,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Military,Iraq,Iraqi extremists,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1982,6,14,Nineveh,Mosul,36.34,43.13,Hostage Taking (Kidnapping),Private Citizens & Property,Germany,Unknown,Unknown,NA,NA,NA,NA,NA,NA,NA
1982,8,1,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,Iraqi Mujahideen,Explosives/Bombs/Dynamite,Vehicle,20,NA,NA,138,NA,NA
1982,12,15,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Journalists & Media,Iraq,Martyr Abu Ja'far Group,Explosives/Bombs/Dynamite,Vehicle,76,NA,NA,NA,NA,NA
1983,3,5,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Airports & Aircraft,Kuwait,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1983,3,5,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Airports & Aircraft,France,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,NA,NA,NA,NA,NA
1983,4,5,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1984,3,26,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (Diplomatic),Great Britain,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,1,NA,NA
1987,6,6,Dihok,Duhok,36.866667,43,Armed Assault,Private Citizens & Property,Turkey,Kurds,Firearms,Automatic Weapon,0,NA,NA,4,NA,NA
1987,9,15,Nineveh,Mosul,36.34,43.13,Hostage Taking (Kidnapping),Business,Italy,Kurdistan National Union,Unknown,NA,0,NA,NA,0,NA,NA
1987,10,2,Saladin,Baiji,34.929159,43.493025,Hostage Taking (Kidnapping),Business,Italy,Kurdistan National Union,Unknown,NA,0,NA,NA,0,NA,NA
1988,2,13,Basra,Abu Bushut,30.580143,47.781882,Assassination,Business,South Korea,Unknown,Unknown,NA,2,NA,NA,0,NA,NA
1988,8,14,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1988,8,18,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Airports & Aircraft,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,NA,NA,4,NA,NA
1989,7,27,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (Diplomatic),Hungary,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1989,9,20,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Great Britain,Unknown,Explosives/Bombs/Dynamite,Grenade,0,NA,NA,25,NA,NA
1989,10,22,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (Diplomatic),Turkey,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1991,7,3,Dihok,Aneshki,37.1075,43.361111,Assassination,Private Citizens & Property,Iraq,Kurdish Peshmerga Guerrillas,Firearms,Handgun,1,NA,NA,0,NA,NA
1991,12,23,Baghdad,Baghdad,33.3,44.4,Assassination,Government (Diplomatic),Iraq,Mujahedin-e Khalq (MEK),Firearms,Handgun,0,NA,NA,2,NA,NA
1991,12,30,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Business,United States,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,NA,NA,0,NA,NA
1992,3,20,Baghdad,Baghdad,33.3,44.4,Unknown,Government (Diplomatic),Iran,Mujahedin-e Khalq (MEK),Unknown,NA,0,NA,NA,0,NA,NA
1992,5,5,Sulaymaniyah,Chamchamal,35.533866,44.833044,Armed Assault,Violent Political Party,Turkey,Hamawand Tribe,Firearms,Automatic Weapon,14,NA,NA,0,NA,NA
1992,5,6,Baghdad,Baghdad,33.3,44.4,Assassination,Police,Iraq,Islamic Mujahidin,Firearms,Handgun,1,NA,NA,0,NA,NA
1992,5,6,Baghdad,Baghdad,33.3,44.4,Assassination,Military,Iraq,Islamic Mujahidin,Firearms,Handgun,1,NA,NA,0,NA,NA
1992,5,17,Dihok,Zakho,37.137891,42.699011,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,NA,NA,0,NA,NA
1992,7,9,Arbil,Arbil,36.191111,44.009167,Bombing/Explosion,Government (Diplomatic),International,Unknown,Explosives/Bombs/Dynamite,Grenade,0,NA,NA,2,NA,NA
1992,7,16,Dihok,Duhok,36.866667,43,Assassination,Government (Diplomatic),International,Unknown,Firearms,Handgun,1,NA,NA,0,NA,NA
1992,7,16,Diyala,Abu Saydah,33.927271,44.773299,Armed Assault,Military,Iraq,Mujahedin-e Khalq (MEK),Firearms,Automatic Weapon,0,NA,NA,0,NA,NA
1992,7,18,Basra,Dayr,30.798874,47.57524,Armed Assault,Military,Iraq,Unknown,Firearms,Automatic Weapon,0,NA,NA,0,NA,NA
1992,7,20,Sulaymaniyah,Sulaymaniyah,35.550356,45.432795,Bombing/Explosion,Government (Diplomatic),International,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,NA,NA,2,NA,NA
1992,7,27,Sulaymaniyah,Sulaymaniyah,35.54987,45.433493,Armed Assault,Government (Diplomatic),International,Unknown,Firearms,Automatic Weapon,0,NA,NA,0,NA,NA
1992,8,2,Nineveh,Akre,36.741411,43.893264,Armed Assault,NGO,International,Unknown,Firearms,Automatic Weapon,0,NA,NA,1,NA,NA
1992,8,5,Baghdad,Baghdad,33.3,44.4,Assassination,Government (Diplomatic),Russia,Unknown,Firearms,Handgun,2,NA,NA,0,NA,NA
1992,8,17,Sulaymaniyah,Sulaymaniyah,35.550356,45.432795,Armed Assault,Government (Diplomatic),International,Unknown,Firearms,Automatic Weapon,0,NA,NA,1,NA,NA
1992,8,30,Kirkuk,Kirkuk,35.46883,44.39098,Bombing/Explosion,Government (Diplomatic),International,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1992,10,9,Baghdad,Baghdad,33.262427,44.315414,Armed Assault,Military,Iraq,Supreme Council for Islamic Revolution in Iraq (SCIRI),Firearms,Automatic Weapon,10,NA,NA,0,NA,NA
1992,10,10,Basra,Dayr,30.798874,47.57524,Armed Assault,Military,Iraq,Supreme Council for Islamic Revolution in Iraq (SCIRI),Firearms,Automatic Weapon,11,NA,NA,0,NA,NA
1992,10,12,Dihok,Duhok,36.866667,43,Armed Assault,NGO,Switzerland,Unknown,Firearms,Automatic Weapon,0,NA,NA,1,NA,NA
1992,10,19,Maysan,Amarah,31.837472000000002,47.15104,Facility/Infrastructure Attack,Military,Iraq,Unknown,Incendiary,NA,3,NA,NA,27,NA,NA
1992,11,4,Maysan,Amarah,31.837466,47.151012,Assassination,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1992,11,9,Diyala,Diyana,34.231576,44.959532,Bombing/Explosion,Private Citizens & Property,Great Britain,Unknown,Explosives/Bombs/Dynamite,Grenade,0,NA,NA,2,NA,NA
1992,11,12,Basra,Basra,30.5,47.816667,Assassination,Government (General),Iraq,Iraqi Revolutionary Forces,Unknown,NA,1,NA,NA,0,NA,NA
1992,11,12,Basra,Basra,30.5,47.816667,Assassination,Military,Iraq,Iraqi Revolutionary Forces,Unknown,NA,1,NA,NA,0,NA,NA
1992,11,22,Sulaymaniyah,Sulaymaniyah,35.54987,45.433493,Bombing/Explosion,Business,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,4,NA,NA,28,NA,NA
1992,11,25,Dihok,Duhok,36.866667,43,Bombing/Explosion,Government (Diplomatic),International,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1992,12,3,Dhi Qar,Nasiriyah,31.05,46.266667,Assassination,Government (General),Iraq,Unknown,Firearms,Automatic Weapon,2,NA,NA,0,NA,NA
1992,12,16,Dihok,Zakho,37.137891,42.699011,Bombing/Explosion,Government (Diplomatic),International,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1992,12,16,Dihok,Zakho,37.137891,42.699011,Bombing/Explosion,Government (Diplomatic),International,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1994,1,18,Arbil,Arbil,36.191107,44.009101,Armed Assault,NGO,Turkey,Unknown,Firearms,Automatic Weapon,2,NA,NA,2,NA,NA
1994,4,4,Sulaymaniyah,Sulaymaniyah,35.550356,45.432795,Assassination,Journalists & Media,Germany,Unknown,Firearms,Automatic Weapon,2,NA,NA,NA,NA,NA
1994,4,15,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,Mujahedin-e Khalq (MEK),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,NA,NA,NA,NA,NA
1994,5,29,Dihok,Khalbishi,37.102255,43.202923,Assassination,Terrorists/Non-State Militia,Iran,Unknown,Unknown,NA,1,NA,NA,NA,NA,NA
1994,6,13,Sulaymaniyah,Sulaymaniyah,35.54987,45.433493,Armed Assault,Violent Political Party,Iraq,Kurdish Democratic Party-Iraq (KDP),Firearms,Automatic Weapon,NA,NA,NA,NA,NA,NA
1994,6,13,Sulaymaniyah,Sulaymaniyah,35.54987,45.433493,Armed Assault,Private Citizens & Property,Iraq,Patriotic Union of Kurdistan (PUK),Firearms,Automatic Weapon,51,NA,NA,40,NA,NA
1994,8,22,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Journalists & Media,Iraq,Iraqi Islamic Vanguards for National Salvation (IIVNS),Explosives/Bombs/Dynamite,Vehicle,1,NA,NA,13,NA,NA
1994,8,25,Arbil,Arbil,36.191107,44.009101,Bombing/Explosion,Violent Political Party,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,10,NA,NA,100,NA,NA
1994,9,6,Al Anbar,Ramadi,33.431899,43.311566,Bombing/Explosion,Business,Jordan,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1994,9,6,Al Anbar,Ramadi,33.431899,43.311566,Bombing/Explosion,Business,Jordan,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1994,9,7,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Business,United States,Iraqi National Congress (INC),Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1994,9,9,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Police,Iraq,Iraqi National Congress (INC),Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1994,9,10,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Grenade,2,NA,NA,27,NA,NA
1994,10,16,Arbil,Ankawah,36.229167,43.993611,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Time Fuse,1,NA,NA,3,NA,NA
1994,10,19,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,NA,NA,5,NA,NA
1994,10,30,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Religious Figures/Institutions,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,4,NA,NA,3,NA,NA
1995,2,27,Dihok,Zakho,37.137891,42.699011,Bombing/Explosion,Unknown,Iraq,Patriotic Union of Kurdistan (PUK),Explosives/Bombs/Dynamite,Vehicle,76,NA,NA,141,NA,NA
1995,3,11,Saladin,Unknown,34.533753,43.483738,Bombing/Explosion,Violent Political Party,Iraq,Patriotic Union of Kurdistan (PUK),Explosives/Bombs/Dynamite,Unknown Explosive Type,1,NA,NA,1,NA,NA
1995,3,17,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,0,NA,NA,1,NA,NA
1995,4,5,Arbil,Arbil,36.191107,44.009101,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,NA,NA,0,NA,NA
1995,4,18,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Terrorists/Non-State Militia,Iran,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,NA,NA,0,NA,NA
1995,4,20,Muthanna,Samawah,31.316473,45.283197,Unknown,Military,Iraq,Islamist extremists,Unknown,NA,4,NA,NA,0,NA,NA
1995,5,14,Saladin,Samarra,34.192537,43.886423,Assassination,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1995,7,3,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,National Accord Movement,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1995,8,24,Saladin,Baiji,34.929159,43.493025,Bombing/Explosion,Utilities,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,7,NA,NA,0,NA,NA
1995,9,5,Baghdad,Baghdad,33.3,44.4,Armed Assault,Military,Iraq,Supreme Council for Islamic Revolution in Iraq (SCIRI),Firearms,Unknown Gun Type,10,NA,NA,0,NA,NA
1995,9,7,Arbil,Arbil,36.191107,44.009101,Bombing/Explosion,Government (General),Iraq,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,Vehicle,5,NA,NA,9,NA,NA
1995,10,31,Saladin,Unknown,34.533753,43.483738,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,26,NA,NA,70,NA,NA
1995,11,21,Saladin,Unknown,34.533753,43.483738,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,12,NA,NA,20,NA,NA
1995,11,26,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Terrorists/Non-State Militia,Iran,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,NA,NA,0,NA,NA
1996,1,2,Karbala,Karbala,32.613992,44.025046,Armed Assault,Military,Iraq,Unknown,Firearms,Unknown Gun Type,2,NA,NA,0,NA,NA
1996,1,10,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1996,1,10,Karbala,Karbala,32.613992,44.025046,Assassination,Police,Iraq,Unknown,Firearms,Unknown Gun Type,1,NA,NA,2,NA,NA
1996,4,5,Karbala,Karbala,32.613992,44.025046,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Time Fuse,0,NA,NA,0,NA,NA
1996,4,28,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Business,Iraq,Supreme Council for Islamic Revolution in Iraq (SCIRI),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1996,5,1,Maysan,Amarah,31.837472000000002,47.15104,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,7,NA,NA
1996,5,4,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Time Fuse,0,NA,NA,0,NA,NA
1996,6,5,Dhi Qar,Nasiriyah,31.05,46.266667,Assassination,Military,Iraq,Unknown,Unknown,NA,2,NA,NA,1,NA,NA
1996,7,15,Al Anbar,Ramadi,33.431899,43.311566,Assassination,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1996,11,13,Diyala,Khalis,33.851043,44.519491,Bombing/Explosion,Government (General),Iran,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,NA,NA,1,NA,NA
1996,12,1,Arbil,Koysanjag,36.083333,44.633333,Unknown,Violent Political Party,Iraq,Unknown,Unknown,NA,5,NA,NA,3,NA,NA
1997,1,7,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Terrorists/Non-State Militia,Iran,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,5,NA,NA
1997,2,17,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,0,NA,NA,3,NA,NA
1997,4,24,Baghdad,Baghdad,33.3,44.4,Assassination,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,0,NA,NA,2,NA,NA
1997,5,7,Basra,Basra,30.5,47.816667,Bombing/Explosion,Military,Iraq,Supreme Council for Islamic Revolution in Iraq (SCIRI),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,NA,NA,0,NA,NA
1997,5,12,Dhi Qar,Dhi Qar,31.104229,46.362469,Bombing/Explosion,Government (General),Iraq,Supreme Council for Islamic Revolution in Iraq (SCIRI),Explosives/Bombs/Dynamite,Unknown Explosive Type,NA,NA,NA,NA,NA,NA
1997,6,4,Sulaymaniyah,Sulaymaniyah,35.54987,45.433493,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Grenade,3,NA,NA,NA,NA,NA
1997,8,14,Sulaymaniyah,Sulaymaniyah,35.550356,45.432795,Assassination,Violent Political Party,Iran,Unknown,Unknown,NA,3,NA,NA,4,NA,NA
1997,8,19,Sulaymaniyah,Dokan,35.928637,44.964221,Unknown,Violent Political Party,Iran,Unknown,Unknown,NA,3,NA,NA,9,NA,NA
1997,9,14,Dihok,Amadiyah,37.0925,43.487222,Facility/Infrastructure Attack,Private Citizens & Property,Turkey,Kurdistan Workers' Party (PKK),Incendiary,NA,0,NA,NA,0,NA,NA
1997,9,14,Dihok,Amadiyah,37.0925,43.487222,Hostage Taking (Kidnapping),Private Citizens & Property,Turkey,Kurdistan Workers' Party (PKK),Unknown,NA,0,NA,NA,0,NA,NA
1997,9,15,Dihok,Amadiyah,37.0925,43.487222,Unknown,Terrorists/Non-State Militia,Turkey,Kurdish Democratic Party-Iraq (KDP),Unknown,NA,2,NA,NA,0,NA,NA
1997,10,18,Sulaymaniyah,Sulaymaniyah,35.550356,45.432795,Armed Assault,Private Citizens & Property,Iran,Unknown,Firearms,Unknown Gun Type,1,NA,NA,0,NA,NA
1997,10,25,Diyala,Baqubah,33.75,44.633333,Armed Assault,Terrorists/Non-State Militia,Iran,Unknown,Firearms,Automatic Weapon,1,NA,NA,0,NA,NA
1997,11,7,Arbil,Sidakan,36.803372,44.663587,Unknown,Violent Political Party,Iran,Kurdistan Workers' Party (PKK),Unknown,NA,57,NA,NA,0,NA,NA
1997,11,7,Arbil,Degala,36.175982,44.385519,Unknown,Violent Political Party,Iran,Patriotic Union of Kurdistan (PUK),Unknown,NA,0,NA,NA,0,NA,NA
1997,12,9,Sulaymaniyah,Dokan,35.928637,44.964221,Assassination,Violent Political Party,Iran,Unknown,Unknown,NA,5,NA,NA,0,NA,NA
1997,12,9,Sulaymaniyah,Dokan,35.928637,44.964221,Assassination,Violent Political Party,Iran,Unknown,Unknown,NA,5,NA,NA,0,NA,NA
1998,1,2,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (Diplomatic),Multinational,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,0,0,0
1998,8,1,Dihok,Dahuk,36.865655,42.997782,Assassination,Government (General),Turkey,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,Unknown Explosive Type,6,0,0,0,0,0
1998,8,7,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iran,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,3,0,0,14,0,0
1998,8,16,Sulaymaniyah,Sulaymaniyah,35.550356,45.432795,Bombing/Explosion,Business,Iraq,Kurdish Democratic Party-Iraq (KDP),Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,2,0,0
1998,10,5,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Religious Figures/Institutions,Iraq,Abu Nidal Organization (ANO),Explosives/Bombs/Dynamite,Unknown Explosive Type,10,0,0,0,0,0
1998,10,17,Diyala,Khalis,33.850888,44.519629,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,0,0,0,0,0,0
1998,11,22,Karbala,Karbala,32.614481,44.024968,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Grenade,0,0,0,0,0,0
1999,3,9,Arbil,Arbil,36.191107,44.009101,Bombing/Explosion,Government (Diplomatic),Multinational,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,3,0,0
1999,3,10,Dihok,Duhok,36.866667,43,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),1,0,1,4,0,0
1999,3,12,Dihok,Duhok,36.866667,43,Bombing/Explosion,Government (Diplomatic),Multinational,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
1999,5,7,Wasit,Kut,32.505556,45.824722,Bombing/Explosion,Terrorists/Non-State Militia,Iran,Unknown,Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",1,0,0,2,0,0
1999,5,12,Saladin,Baiji,34.929167,43.493056,Hostage Taking (Kidnapping),Private Citizens & Property,Iraq,Unknown,Unknown,NA,4,0,0,12,0,0
1999,6,5,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iran,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,1,0,0
1999,6,9,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iran,Unknown,Explosives/Bombs/Dynamite,Vehicle,7,0,0,37,0,0
1999,6,14,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Iraqi Islamic Vanguards for National Salvation (IIVNS),Explosives/Bombs/Dynamite,Vehicle,0,0,0,NA,0,0
1999,11,14,Wasit,Kut,32.505556,45.824722,Bombing/Explosion,Private Citizens & Property,Iraq,Mujahedin-e Khalq (MEK),Explosives/Bombs/Dynamite,Vehicle,0,0,0,12,0,0
2000,1,8,Sulaymaniyah,Kalar District,34.633333,45.3,Bombing/Explosion,Private Citizens & Property,Iraq,Muslim extremists,Explosives/Bombs/Dynamite,Grenade,1,0,1,0,0,0
2000,1,25,Arbil,Arbil,36.191107,44.009101,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Dynamite/TNT,0,0,0,0,0,0
2000,5,3,Dihok,Amadiyah,37.0925,43.487222,Armed Assault,Government (General),Iraq,Kurdistan Workers' Party (PKK),Firearms,Unknown Gun Type,1,0,0,1,0,0
2000,5,17,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Government (General),Iraq,Supreme Council for Islamic Revolution in Iraq (SCIRI),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",NA,0,0,NA,0,0
2000,6,20,Arbil,Arbil,36.191111,44.009167,Bombing/Explosion,Religious Figures/Institutions,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,1,0,0
2000,6,22,Nineveh,Gisew,36.868611,43.784444,Bombing/Explosion,Private Citizens & Property,Iraq,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,Dynamite/TNT,0,0,0,0,0,0
2000,6,22,Nineveh,Gisew,36.868611,43.784444,Bombing/Explosion,Business,Iraq,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,Vehicle,0,0,0,NA,0,0
2000,11,14,Arbil,Arbil,36.191111,44.009167,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,6,0,0,17,0,0
2001,3,16,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Transportation,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,2,0,0,27,0,0
2001,4,4,Dihok,Duhok,36.866667,43,Bombing/Explosion,Government (General),Iraq,Kurdistan Workers' Party (PKK),Explosives/Bombs/Dynamite,Land Mine,7,0,0,2,0,0
2001,7,11,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Supreme Council for Islamic Revolution in Iraq (SCIRI),Explosives/Bombs/Dynamite,"Projectile (rockets, mortars, RPGs, etc.)",0,0,0,1,0,0
2002,4,3,Sulaymaniyah,Sulaymaniyah,35.54987,45.433493,Assassination,Government (General),Iraq,Ansar al-Islam,Firearms,Unknown Gun Type,7,0,2,0,0,0
2002,8,1,Sulaymaniyah,Khurmal,35.302275,46.035178,Bombing/Explosion,Military,Iraq,Unknown,Explosives/Bombs/Dynamite,Dynamite/TNT,0,0,0,4,0,1
