year,month,day,provstate,city,latitude,longitude,primary_attacktype,primary_target,target_nationality,primary_group,weaptype1,weapsubtype1,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte
2007,8,22,Saladin,Baiji,34.929159,43.493025,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,20,0,1,40,0,0
2007,8,22,Babil,Iskandariyah,32.88504,44.348,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,5,0,0
2007,8,22,Diyala,Muqdadiyah,33.971348,44.92668,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,7,0,1,35,0,0
2007,8,23,Nineveh,Mosul,36.34,43.13,Armed Assault,Government (General),Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,0,0,0
2007,8,24,Saladin,Samarra,34.192537,43.886423,Armed Assault,Police,Iraq,Unknown,Firearms,Unknown Gun Type,2,0,0,7,0,0
2007,8,24,Saladin,Samarra,34.192537,43.886423,Armed Assault,Police,Iraq,Al-Qaida in Iraq,Firearms,Unknown Gun Type,3,0,NA,9,0,NA
2007,8,27,Saladin,Tikrit,34.604447,43.685789,Bombing/Explosion,Government (General),Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2007,8,27,Al Anbar,Fallujah,33.35004,43.783488,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Suicide (carried bodily by human being),9,0,1,11,0,0
2007,8,28,Karbala,Karbala,32.614481,44.024968,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,27,0,NA,147,0,NA
2007,8,28,Baghdad,Baghdad,33.3,44.4,Armed Assault,Private Citizens & Property,Iraq,Unknown,Firearms,Unknown Gun Type,0,0,0,10,0,0
2007,8,30,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,1,0,0,2,0,0
2007,9,1,Baghdad,Baghdad,33.3,44.4,Bombing/Explosion,Religious Figures/Institutions,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,0,0,0,0,0,0
2007,9,3,Diyala,Baqubah,33.75,44.633333,Hostage Taking (Kidnapping),Government (General),Iraq,Al-Qaida in Iraq,Firearms,Automatic Weapon,0,0,0,0,0,0
2007,9,5,Baghdad,Baghdad,33.346844,44.491354,Bombing/Explosion,Transportation,Iraq,Unknown,Explosives/Bombs/Dynamite,Other Explosive Type,15,0,0,NA,0,0
2007,9,5,Baghdad,Baghdad,33.389934,44.460652,Bombing/Explosion,Transportation,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,11,0,0,20,0,0
2007,9,8,Baghdad,Baghdad,33.389934,44.460652,Bombing/Explosion,Police,Iraq,Unknown,Explosives/Bombs/Dynamite,Vehicle,15,0,1,23,0,0
2007,9,8,Najaf,Kufa,32.032916,44.399648,Bombing/Explosion,Private Citizens & Property,Iraq,Unknown,Explosives/Bombs/Dynamite,Unknown Explosive Type,4,0,0,7,0,2
2007,9,8,Najaf,Najaf,32.000596,44.330818,Armed Assault,Government (Diplomatic),Iraq,Unknown,Firearms,Automatic Weapon,1,0,0,0,0,0
2007,9,12,Nineveh,Qayarah,35.798157,43.293191,Armed Assault,Police,Iraq,Islamic State of Iraq (ISI),Firearms,Automatic Weapon,6,0,NA,NA,0,NA
